Time Bucket,1-Mains_A
2023-12-06,0.14305918259904538
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.0
2023-12-16,0.18511346753770003
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.02863732387050646
2023-12-27,0.26243297008366007
2023-12-28,0.0
2023-12-29,0.15574298783356075
2023-12-30,0.16634121588200015
2023-12-31,0.0
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.1532288724349471
2024-01-06,0.0
2024-01-07,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0005735169754577851
2024-01-11,0.16656377682000123
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.018001244988898036
2024-01-15,0.15504060956931542
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.003817837229692237
2024-01-19,0.15134518232164393
2024-01-20,0.0
2024-01-21,0.16865408351126088
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.15606437651451865
2024-01-29,0.0
2024-01-30,0.17715959817556434
2024-01-31,0.27126844870071326
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.16241001576859634
2024-02-04,0.0
2024-02-05,0.13227975942885062
2024-02-06,0.2639084135965779
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
